Member_number,Date,itemDescription,year,month,day,day_of_week
4426,18/05/2015,curd,2015,5,18,0
1202,21/04/2014,coffee,2014,4,21,0
1737,5/09/2015,instant coffee,2015,9,5,5
1667,1/12/2015,beef,2015,12,1,1
4951,27/10/2014,cream,2014,10,27,0
4861,13/09/2015,pudding powder,2015,9,13,6
4179,3/06/2015,brandy,2015,6,3,2
4946,24/06/2014,other vegetables,2014,6,24,1
1444,16/12/2015,other vegetables,2015,12,16,2
4038,7/08/2015,frankfurter,2015,8,7,4
1233,31/07/2015,chicken,2015,7,31,4
4242,30/03/2015,bottled water,2015,3,30,0
4462,4/02/2015,bottled water,2015,2,4,2
3059,15/06/2014,cat food,2014,6,15,6
3041,7/10/2015,organic products,2015,10,7,2
4315,26/04/2015,citrus fruit,2015,4,26,6
4822,1/03/2014,ice cream,2014,3,1,5
2442,24/02/2014,other vegetables,2014,2,24,0
4929,26/03/2015,margarine,2015,3,26,3
1473,27/02/2014,soda,2014,2,27,3
4288,13/11/2015,canned beer,2015,11,13,4
1930,2/02/2015,specialty bar,2015,2,2,0
1620,27/02/2014,bottled water,2014,2,27,3
1583,28/07/2015,sausage,2015,7,28,1
4130,8/03/2014,liquor,2014,3,8,5
1873,22/02/2015,red/blush wine,2015,2,22,6
1924,22/11/2014,shopping bags,2014,11,22,5
4303,22/02/2015,meat,2015,2,22,6
4400,12/11/2015,whole milk,2015,11,12,3
1413,12/03/2014,citrus fruit,2014,3,12,2
4146,2/09/2015,rolls/buns,2015,9,2,2
1850,3/11/2015,grapes,2015,11,3,1
1776,15/04/2015,bottled water,2015,4,15,2
4939,29/06/2015,canned beer,2015,6,29,0
4962,17/10/2014,whole milk,2014,10,17,4
3389,12/07/2014,butter milk,2014,7,12,5
2494,6/10/2015,yogurt,2015,10,6,1
3491,6/11/2015,ham,2015,11,6,4
1200,27/02/2014,detergent,2014,2,27,3
1484,10/07/2015,soft cheese,2015,7,10,4
2930,23/03/2015,oil,2015,3,23,0
3597,13/12/2015,specialty chocolate,2015,12,13,6
4938,1/05/2014,shopping bags,2014,5,1,3
2066,2/05/2014,frozen vegetables,2014,5,2,4
1066,2/01/2014,bottled beer,2014,1,2,3
1218,5/08/2014,citrus fruit,2014,8,5,1
2950,2/07/2015,whole milk,2015,7,2,3
4599,21/03/2014,other vegetables,2014,3,21,4
2079,25/02/2014,sliced cheese,2014,2,25,1
4933,7/02/2014,soda,2014,2,7,4
3069,4/04/2014,canned beer,2014,4,4,4
3175,17/03/2015,curd,2015,3,17,1
1998,2/03/2014,frozen vegetables,2014,3,2,6
3756,15/11/2014,napkins,2014,11,15,5
4366,13/08/2015,soda,2015,8,13,3
2582,14/11/2015,root vegetables,2015,11,14,5
4783,22/10/2015,beef,2015,10,22,3
2087,21/08/2014,seasonal products,2014,8,21,3
2690,5/01/2015,root vegetables,2015,1,5,0
3978,23/07/2015,beef,2015,7,23,3
2239,23/11/2014,other vegetables,2014,11,23,6
4389,27/08/2015,pork,2015,8,27,3
3600,4/08/2014,pickled vegetables,2014,8,4,0
2184,18/12/2014,onions,2014,12,18,3
1669,19/08/2015,domestic eggs,2015,8,19,2
4334,28/04/2015,fruit/vegetable juice,2015,4,28,1
1457,22/09/2014,hard cheese,2014,9,22,0
1393,25/06/2014,chocolate,2014,6,25,2
2584,3/11/2014,whole milk,2014,11,3,0
1033,22/04/2015,soda,2015,4,22,2
4173,14/02/2014,candy,2014,2,14,4
4422,24/03/2014,berries,2014,3,24,0
3095,26/11/2014,rolls/buns,2014,11,26,2
3411,5/02/2014,dessert,2014,2,5,2
3117,30/09/2015,other vegetables,2015,9,30,2
2517,17/04/2014,frozen fish,2014,4,17,3
3306,2/05/2014,root vegetables,2014,5,2,4
2837,22/04/2015,yogurt,2015,4,22,2
2357,8/03/2015,onions,2015,3,8,6
3950,5/12/2015,chicken,2015,12,5,5
3297,29/05/2014,fruit/vegetable juice,2014,5,29,3
3289,24/01/2014,other vegetables,2014,1,24,4
4035,1/12/2015,sausage,2015,12,1,1
1687,21/05/2014,UHT-milk,2014,5,21,2
3685,20/07/2014,tropical fruit,2014,7,20,6
4215,4/03/2014,liquor (appetizer),2014,3,4,1
1515,7/05/2015,other vegetables,2015,5,7,3
1968,21/08/2015,margarine,2015,8,21,4
2788,8/10/2014,rolls/buns,2014,10,8,2
1947,27/02/2014,other vegetables,2014,2,27,3
3498,7/01/2014,pip fruit,2014,1,7,1
2552,1/05/2015,chocolate,2015,5,1,4
1715,21/05/2015,specialty chocolate,2015,5,21,3
3768,31/07/2014,beef,2014,7,31,3
3369,29/12/2015,other vegetables,2015,12,29,1
4719,22/08/2015,yogurt,2015,8,22,5
3278,13/03/2014,coffee,2014,3,13,3
4296,24/01/2015,frankfurter,2015,1,24,5
4988,10/04/2015,other vegetables,2015,4,10,4
1355,25/02/2015,pastry,2015,2,25,2
2267,6/10/2014,instant coffee,2014,10,6,0
4095,29/09/2015,ham,2015,9,29,1
4021,31/10/2014,yogurt,2014,10,31,4
4040,27/06/2014,yogurt,2014,6,27,4
2941,26/09/2015,yogurt,2015,9,26,5
1342,1/07/2015,frozen vegetables,2015,7,1,2
1830,6/07/2014,bottled water,2014,7,6,6
4197,11/03/2015,pastry,2015,3,11,2
2580,4/11/2015,sausage,2015,11,4,2
4331,17/08/2014,other vegetables,2014,8,17,6
2926,11/08/2015,soda,2015,8,11,1
1077,30/08/2014,rolls/buns,2014,8,30,5
1720,12/05/2015,whole milk,2015,5,12,1
3753,9/06/2014,bottled beer,2014,6,9,0
2065,20/10/2014,soda,2014,10,20,0
2165,27/09/2014,bottled beer,2014,9,27,5
4503,19/12/2015,tropical fruit,2015,12,19,5
3818,8/08/2015,cat food,2015,8,8,5
4671,8/01/2015,whole milk,2015,1,8,3
2618,1/05/2014,flower (seeds),2014,5,1,3
1870,2/01/2014,fruit/vegetable juice,2014,1,2,3
2602,2/04/2014,pot plants,2014,4,2,2
3911,24/03/2014,mayonnaise,2014,3,24,0
4217,27/07/2014,sweet spreads,2014,7,27,6
1354,5/04/2014,bottled beer,2014,4,5,5
2332,27/07/2014,salt,2014,7,27,6
4380,4/09/2014,packaged fruit/vegetables,2014,9,4,3
1305,24/05/2015,pork,2015,5,24,6
2423,2/12/2014,roll products ,2014,12,2,1
2161,5/04/2014,shopping bags,2014,4,5,5
2358,8/08/2014,berries,2014,8,8,4
3107,13/12/2014,chocolate,2014,12,13,5
3430,26/01/2015,rolls/buns,2015,1,26,0
3296,27/06/2015,other vegetables,2015,6,27,5
1389,13/11/2014,root vegetables,2014,11,13,3
2880,12/04/2014,soda,2014,4,12,5
3505,31/07/2014,brown bread,2014,7,31,3
3573,4/03/2015,root vegetables,2015,3,4,2
2565,29/04/2015,bottled beer,2015,4,29,2
4564,10/11/2014,yogurt,2014,11,10,0
4986,10/06/2014,butter milk,2014,6,10,1
1731,26/10/2014,other vegetables,2014,10,26,6
3415,6/10/2014,bottled water,2014,10,6,0
3836,14/06/2014,other vegetables,2014,6,14,5
4618,16/12/2015,sliced cheese,2015,12,16,2
4302,8/03/2015,salty snack,2015,3,8,6
1881,15/10/2015,bottled water,2015,10,15,3
2954,6/05/2015,sausage,2015,5,6,2
3691,8/08/2015,newspapers,2015,8,8,5
4965,10/11/2015,newspapers,2015,11,10,1
1406,28/12/2015,sausage,2015,12,28,0
3062,7/09/2014,baking powder,2014,9,7,6
1490,18/10/2014,soft cheese,2014,10,18,5
3054,17/02/2015,whole milk,2015,2,17,1
2450,29/11/2014,citrus fruit,2014,11,29,5
3471,29/05/2015,liquor,2015,5,29,4
1319,1/10/2015,soda,2015,10,1,3
2784,26/05/2014,house keeping products,2014,5,26,0
2388,28/08/2014,salty snack,2014,8,28,3
4779,29/01/2014,root vegetables,2014,1,29,2
4192,16/12/2015,yogurt,2015,12,16,2
2565,29/04/2015,tropical fruit,2015,4,29,2
2270,7/01/2015,specialty bar,2015,1,7,2
4384,9/06/2014,UHT-milk,2014,6,9,0
4150,26/08/2015,tropical fruit,2015,8,26,2
1342,1/07/2015,tropical fruit,2015,7,1,2
4401,24/02/2014,ice cream,2014,2,24,0
1206,15/05/2015,soda,2015,5,15,4
1650,20/01/2014,detergent,2014,1,20,0
3175,26/02/2015,sausage,2015,2,26,3
4811,9/12/2014,bottled water,2014,12,9,1
2663,21/10/2015,whole milk,2015,10,21,2
4296,15/12/2014,sausage,2014,12,15,0
4783,21/02/2015,coffee,2015,2,21,5
1616,12/08/2015,pip fruit,2015,8,12,2
2308,13/04/2014,yogurt,2014,4,13,6
2117,5/02/2015,long life bakery product,2015,2,5,3
3909,9/06/2014,yogurt,2014,6,9,0
2219,30/05/2014,root vegetables,2014,5,30,4
1905,7/07/2015,tropical fruit,2015,7,7,1
1219,10/02/2014,brown bread,2014,2,10,0
4804,26/11/2014,butter milk,2014,11,26,2
4444,22/07/2015,rolls/buns,2015,7,22,2
3574,20/02/2014,UHT-milk,2014,2,20,3
2643,12/01/2015,coffee,2015,1,12,0
4304,14/02/2015,pork,2015,2,14,5
2485,24/03/2015,pip fruit,2015,3,24,1
4199,4/05/2014,curd,2014,5,4,6
4965,23/12/2014,ham,2014,12,23,1
3751,15/02/2014,specialty bar,2014,2,15,5
1757,15/06/2015,packaged fruit/vegetables,2015,6,15,0
1296,19/05/2014,flower (seeds),2014,5,19,0
1849,30/03/2014,spread cheese,2014,3,30,6
3284,25/03/2014,misc. beverages,2014,3,25,1
3584,18/11/2014,soda,2014,11,18,1
2466,10/10/2015,whole milk,2015,10,10,5
3601,7/06/2015,coffee,2015,6,7,6
4941,6/12/2014,canned beer,2014,12,6,5
1423,13/10/2014,pasta,2014,10,13,0
1035,25/06/2014,whole milk,2014,6,25,2
3602,27/10/2014,domestic eggs,2014,10,27,0
3860,10/06/2014,domestic eggs,2014,6,10,1
4700,6/06/2015,dessert,2015,6,6,5
2283,18/01/2015,margarine,2015,1,18,6
3546,22/11/2015,Instant food products,2015,11,22,6
2001,28/01/2015,beef,2015,1,28,2
4416,23/12/2015,whole milk,2015,12,23,2
1610,26/05/2015,oil,2015,5,26,1
4165,4/03/2014,other vegetables,2014,3,4,1
3046,31/03/2015,sausage,2015,3,31,1
2166,10/11/2014,brown bread,2014,11,10,0
3663,20/11/2015,citrus fruit,2015,11,20,4
2065,28/01/2014,soda,2014,1,28,1
1566,24/01/2014,citrus fruit,2014,1,24,4
1758,26/02/2015,pasta,2015,2,26,3
3077,19/01/2015,butter milk,2015,1,19,0
3848,28/02/2014,soft cheese,2014,2,28,4
1661,11/08/2015,pip fruit,2015,8,11,1
1222,8/07/2015,coffee,2015,7,8,2
4539,3/09/2015,spread cheese,2015,9,3,3
2186,7/01/2015,zwieback,2015,1,7,2
3568,17/10/2015,other vegetables,2015,10,17,5
1479,14/05/2015,sausage,2015,5,14,3
3967,30/05/2015,yogurt,2015,5,30,5
3604,14/03/2015,whole milk,2015,3,14,5
4839,6/03/2014,onions,2014,3,6,3
2005,22/09/2015,male cosmetics,2015,9,22,1
2038,28/10/2014,beef,2014,10,28,1
1730,24/01/2015,sausage,2015,1,24,5
3918,5/04/2014,salty snack,2014,4,5,5
2225,13/10/2014,hard cheese,2014,10,13,0
4553,11/04/2014,other vegetables,2014,4,11,4
2616,4/09/2014,soda,2014,9,4,3
4656,25/12/2015,newspapers,2015,12,25,4
2454,11/09/2014,pastry,2014,9,11,3
1911,6/02/2015,tropical fruit,2015,2,6,4
3251,26/12/2015,rolls/buns,2015,12,26,5
3092,9/02/2014,brown bread,2014,2,9,6
4681,31/10/2014,shopping bags,2014,10,31,4
4297,8/02/2014,shopping bags,2014,2,8,5
4150,23/08/2015,brown bread,2015,8,23,6
1591,15/01/2014,frozen meals,2014,1,15,2
1190,25/11/2014,other vegetables,2014,11,25,1
2338,22/09/2014,canned beer,2014,9,22,0
4851,11/08/2014,whole milk,2014,8,11,0
2942,31/10/2014,butter,2014,10,31,4
2035,23/12/2015,ice cream,2015,12,23,2
4007,12/09/2014,bottled beer,2014,9,12,4
1356,17/08/2014,shopping bags,2014,8,17,6
2715,7/06/2015,ham,2015,6,7,6
4720,20/06/2014,bottled water,2014,6,20,4
2903,5/08/2014,tropical fruit,2014,8,5,1
1010,23/08/2014,specialty bar,2014,8,23,5
4509,29/11/2015,sliced cheese,2015,11,29,6
1751,9/04/2014,flour,2014,4,9,2
1649,24/11/2014,newspapers,2014,11,24,0
1872,29/01/2015,yogurt,2015,1,29,3
4567,5/01/2014,whipped/sour cream,2014,1,5,6
4412,13/03/2014,canned vegetables,2014,3,13,3
2448,17/08/2015,bottled water,2015,8,17,0
4078,25/04/2015,pip fruit,2015,4,25,5
2166,5/04/2014,red/blush wine,2014,4,5,5
4536,13/09/2015,hamburger meat,2015,9,13,6
1564,23/10/2015,pasta,2015,10,23,4
4624,6/12/2014,soda,2014,12,6,5
4180,9/07/2015,dessert,2015,7,9,3
4787,25/05/2015,cat food,2015,5,25,0
4220,21/11/2015,beef,2015,11,21,5
1870,12/07/2014,brown bread,2014,7,12,5
2675,15/09/2015,canned beer,2015,9,15,1
2019,10/09/2015,brown bread,2015,9,10,3
4747,5/01/2014,tropical fruit,2014,1,5,6
1092,7/03/2015,shopping bags,2015,3,7,5
3049,2/05/2015,yogurt,2015,5,2,5
4344,30/10/2014,softener,2014,10,30,3
3557,2/02/2015,bottled water,2015,2,2,0
3458,13/08/2015,sausage,2015,8,13,3
2805,30/08/2015,ice cream,2015,8,30,6
3050,3/11/2015,grapes,2015,11,3,1
4628,12/10/2015,soda,2015,10,12,0
1621,28/08/2014,photo/film,2014,8,28,3
1312,13/12/2014,hamburger meat,2014,12,13,5
2670,29/04/2015,berries,2015,4,29,2
3473,8/02/2014,tropical fruit,2014,2,8,5
1922,1/01/2014,tropical fruit,2014,1,1,2
2860,26/10/2014,beef,2014,10,26,6
4112,9/08/2014,red/blush wine,2014,8,9,5
4264,16/03/2014,butter milk,2014,3,16,6
2537,23/02/2014,bottled beer,2014,2,23,6
3460,24/07/2015,root vegetables,2015,7,24,4
4330,4/08/2015,misc. beverages,2015,8,4,1
4122,24/04/2015,rolls/buns,2015,4,24,4
4364,21/01/2014,turkey,2014,1,21,1
1432,8/04/2015,grapes,2015,4,8,2
4837,7/07/2014,hard cheese,2014,7,7,0
3903,10/06/2015,condensed milk,2015,6,10,2
2393,17/04/2015,tropical fruit,2015,4,17,4
1146,9/12/2015,margarine,2015,12,9,2
1658,26/06/2014,pork,2014,6,26,3
4028,7/08/2015,frankfurter,2015,8,7,4
3593,31/08/2015,canned beer,2015,8,31,0
1758,21/09/2014,whipped/sour cream,2014,9,21,6
2190,10/11/2015,bottled water,2015,11,10,1
4728,15/02/2015,white bread,2015,2,15,6
1991,22/10/2015,nuts/prunes,2015,10,22,3
2421,27/10/2015,frozen vegetables,2015,10,27,1
2729,21/03/2015,bottled water,2015,3,21,5
1943,1/07/2015,canned beer,2015,7,1,2
3570,14/09/2014,oil,2014,9,14,6
3841,19/07/2015,berries,2015,7,19,6
4704,18/08/2015,coffee,2015,8,18,1
3679,30/08/2015,other vegetables,2015,8,30,6
2305,1/05/2015,canned beer,2015,5,1,4
1216,25/08/2015,root vegetables,2015,8,25,1
3849,18/02/2014,dessert,2014,2,18,1
4364,21/01/2014,yogurt,2014,1,21,1
2363,22/05/2015,frozen meals,2015,5,22,4
2012,29/03/2015,cling film/bags,2015,3,29,6
1928,15/08/2015,bottled water,2015,8,15,5
1390,31/07/2014,rolls/buns,2014,7,31,3
1628,2/10/2014,softener,2014,10,2,3
1529,17/06/2015,frankfurter,2015,6,17,2
3465,14/06/2015,berries,2015,6,14,6
1013,10/02/2015,meat,2015,2,10,1
4562,26/05/2014,soda,2014,5,26,0
3509,4/11/2015,beef,2015,11,4,2
4864,27/03/2015,bottled beer,2015,3,27,4
1379,17/04/2015,pastry,2015,4,17,4
1057,1/06/2014,sliced cheese,2014,6,1,6
1425,24/09/2015,citrus fruit,2015,9,24,3
2933,4/06/2015,pip fruit,2015,6,4,3
3424,16/08/2015,rolls/buns,2015,8,16,6
3009,18/02/2015,canned beer,2015,2,18,2
2115,19/09/2014,whipped/sour cream,2014,9,19,4
4846,12/04/2014,pot plants,2014,4,12,5
2954,17/07/2014,rolls/buns,2014,7,17,3
1998,18/05/2015,canned vegetables,2015,5,18,0
1309,5/06/2014,margarine,2014,6,5,3
2019,6/10/2014,candy,2014,10,6,0
2660,20/03/2014,whole milk,2014,3,20,3
2879,18/04/2015,hair spray,2015,4,18,5
1385,26/11/2015,frozen vegetables,2015,11,26,3
4092,19/06/2014,berries,2014,6,19,3
1847,13/05/2014,butter,2014,5,13,1
3579,17/08/2015,other vegetables,2015,8,17,0
2421,21/11/2015,long life bakery product,2015,11,21,5
1157,10/04/2014,tropical fruit,2014,4,10,3
4193,30/08/2015,meat,2015,8,30,6
4487,22/01/2015,tropical fruit,2015,1,22,3
3793,15/04/2015,citrus fruit,2015,4,15,2
1444,30/04/2014,yogurt,2014,4,30,2
3316,1/07/2015,cream cheese ,2015,7,1,2
4968,13/11/2015,bottled beer,2015,11,13,4
4538,19/08/2014,other vegetables,2014,8,19,1
2448,6/08/2015,other vegetables,2015,8,6,3
4794,9/06/2015,rolls/buns,2015,6,9,1
4328,21/07/2015,tropical fruit,2015,7,21,1
3898,11/10/2014,whipped/sour cream,2014,10,11,5
1787,31/10/2015,napkins,2015,10,31,5
1025,19/08/2015,canned beer,2015,8,19,2
2545,26/05/2014,citrus fruit,2014,5,26,0
2907,11/02/2014,whipped/sour cream,2014,2,11,1
1657,3/04/2014,frozen potato products,2014,4,3,3
1123,28/12/2014,whole milk,2014,12,28,6
3401,8/02/2015,pork,2015,2,8,6
3601,2/03/2015,sausage,2015,3,2,0
2663,13/05/2014,bottled water,2014,5,13,1
2120,10/07/2015,pip fruit,2015,7,10,4
2631,20/02/2014,frozen vegetables,2014,2,20,3
2430,28/01/2014,margarine,2014,1,28,1
1561,4/02/2014,white bread,2014,2,4,1
3470,10/04/2015,frozen meals,2015,4,10,4
1178,15/11/2015,bottled water,2015,11,15,6
4599,23/04/2014,pastry,2014,4,23,2
2713,28/09/2014,long life bakery product,2014,9,28,6
1339,28/11/2015,whole milk,2015,11,28,5
4500,15/11/2014,cling film/bags,2014,11,15,5
3252,14/05/2014,rolls/buns,2014,5,14,2
2765,22/07/2015,beef,2015,7,22,2
4823,16/09/2014,rolls/buns,2014,9,16,1
1056,24/09/2014,ham,2014,9,24,2
1825,10/06/2015,chicken,2015,6,10,2
3451,31/08/2015,rolls/buns,2015,8,31,0
4947,28/01/2014,dishes,2014,1,28,1
3294,22/11/2014,coffee,2014,11,22,5
3661,27/11/2015,shopping bags,2015,11,27,4
3055,18/08/2015,soda,2015,8,18,1
2696,5/09/2015,margarine,2015,9,5,5
4206,27/11/2014,frozen vegetables,2014,11,27,3
4457,9/03/2015,ice cream,2015,3,9,0
2695,8/04/2014,frozen meals,2014,4,8,1
1148,27/09/2015,other vegetables,2015,9,27,6
4840,27/08/2014,onions,2014,8,27,2
4011,28/08/2014,other vegetables,2014,8,28,3
2428,21/08/2015,butter,2015,8,21,4
2390,21/08/2015,citrus fruit,2015,8,21,4
2701,16/08/2014,whole milk,2014,8,16,5
2384,14/01/2014,fruit/vegetable juice,2014,1,14,1
3726,9/03/2014,whole milk,2014,3,9,6
3793,15/04/2015,whole milk,2015,4,15,2
3922,28/08/2015,citrus fruit,2015,8,28,4
3079,3/10/2015,frankfurter,2015,10,3,5
3672,28/05/2015,beverages,2015,5,28,3
2328,22/02/2015,beef,2015,2,22,6
2263,7/02/2015,frankfurter,2015,2,7,5
4825,17/01/2015,butter,2015,1,17,5
3399,4/09/2015,sausage,2015,9,4,4
3898,4/11/2015,ham,2015,11,4,2
4648,8/03/2015,brown bread,2015,3,8,6
3696,4/05/2014,citrus fruit,2014,5,4,6
3110,23/07/2014,frozen potato products,2014,7,23,2
4234,6/10/2014,sliced cheese,2014,10,6,0
1226,11/12/2015,vinegar,2015,12,11,4
1574,2/12/2015,frankfurter,2015,12,2,2
2742,6/02/2014,coffee,2014,2,6,3
1056,11/09/2015,meat spreads,2015,9,11,4
2028,3/01/2015,frozen vegetables,2015,1,3,5
3757,24/06/2015,whole milk,2015,6,24,2
3175,6/05/2015,other vegetables,2015,5,6,2
3925,25/03/2015,root vegetables,2015,3,25,2
2055,7/07/2015,other vegetables,2015,7,7,1
4993,19/08/2014,detergent,2014,8,19,1
3181,13/12/2015,grapes,2015,12,13,6
2961,31/07/2014,canned fruit,2014,7,31,3
3957,10/03/2014,rolls/buns,2014,3,10,0
1410,2/07/2014,mustard,2014,7,2,2
4861,23/03/2014,other vegetables,2014,3,23,6
3615,13/08/2015,popcorn,2015,8,13,3
4217,18/12/2015,frozen vegetables,2015,12,18,4
2031,20/03/2014,ham,2014,3,20,3
4640,31/01/2015,shopping bags,2015,1,31,5
2930,4/03/2014,other vegetables,2014,3,4,1
1370,28/06/2015,white bread,2015,6,28,6
4489,24/05/2014,other vegetables,2014,5,24,5
2203,27/06/2015,onions,2015,6,27,5
3900,20/12/2015,tropical fruit,2015,12,20,6
2720,26/06/2014,rolls/buns,2014,6,26,3
2755,19/08/2014,other vegetables,2014,8,19,1
1120,14/01/2015,white bread,2015,1,14,2
1014,10/03/2015,bottled beer,2015,3,10,1
1708,18/09/2015,whole milk,2015,9,18,4
2439,31/10/2015,brown bread,2015,10,31,5
2383,13/01/2014,yogurt,2014,1,13,0
2676,15/08/2015,baking powder,2015,8,15,5
4241,22/09/2014,cat food,2014,9,22,0
1581,17/02/2014,newspapers,2014,2,17,0
3319,3/03/2015,oil,2015,3,3,1
4075,25/05/2014,margarine,2014,5,25,6
2729,21/03/2015,cling film/bags,2015,3,21,5
3600,17/08/2015,other vegetables,2015,8,17,0
2028,3/01/2015,coffee,2015,1,3,5
4782,30/10/2014,pickled vegetables,2014,10,30,3
4916,3/01/2015,coffee,2015,1,3,5
3075,4/12/2014,root vegetables,2014,12,4,3
1646,15/11/2014,beverages,2014,11,15,5
1526,5/11/2014,cat food,2014,11,5,2
3822,27/05/2015,candy,2015,5,27,2
3503,29/11/2015,canned beer,2015,11,29,6
2092,4/01/2014,salty snack,2014,1,4,5
2540,23/07/2014,whole milk,2014,7,23,2
1515,11/09/2015,soda,2015,9,11,4
3841,19/07/2015,whole milk,2015,7,19,6
1705,20/07/2015,cream cheese ,2015,7,20,0
4388,16/08/2014,rolls/buns,2014,8,16,5
3430,26/01/2015,packaged fruit/vegetables,2015,1,26,0
4096,23/05/2014,margarine,2014,5,23,4
3982,27/05/2014,meat,2014,5,27,1
4243,22/08/2015,root vegetables,2015,8,22,5
2796,17/10/2015,other vegetables,2015,10,17,5
1883,26/05/2015,butter milk,2015,5,26,1
2849,30/06/2014,sausage,2014,6,30,0
4327,26/04/2015,jam,2015,4,26,6
3010,14/08/2015,root vegetables,2015,8,14,4
3815,15/09/2015,coffee,2015,9,15,1
1385,26/11/2015,whole milk,2015,11,26,3
4341,2/12/2014,other vegetables,2014,12,2,1
3163,11/09/2014,salty snack,2014,9,11,3
1111,3/03/2014,whole milk,2014,3,3,0
3430,8/12/2014,dishes,2014,12,8,0
2465,27/12/2015,pastry,2015,12,27,6
3724,26/11/2015,sausage,2015,11,26,3
3232,6/10/2015,ice cream,2015,10,6,1
4529,5/10/2015,tropical fruit,2015,10,5,0
1878,6/09/2014,canned beer,2014,9,6,5
1814,2/01/2014,sparkling wine,2014,1,2,3
3973,27/07/2015,coffee,2015,7,27,0
1501,11/03/2014,whole milk,2014,3,11,1
2196,2/12/2014,candy,2014,12,2,1
3035,11/08/2015,whole milk,2015,8,11,1
2673,22/04/2014,coffee,2014,4,22,1
1903,17/02/2014,margarine,2014,2,17,0
1485,15/05/2015,packaged fruit/vegetables,2015,5,15,4
1107,1/03/2015,chicken,2015,3,1,6
1615,30/11/2014,white bread,2014,11,30,6
3427,5/11/2014,beverages,2014,11,5,2
2070,27/04/2014,napkins,2014,4,27,6
2769,31/07/2015,rolls/buns,2015,7,31,4
3304,30/11/2015,root vegetables,2015,11,30,0
3119,2/05/2015,sausage,2015,5,2,5
2813,10/01/2015,soda,2015,1,10,5
2262,10/04/2015,hygiene articles,2015,4,10,4
1515,28/11/2015,waffles,2015,11,28,5
1848,20/06/2015,fruit/vegetable juice,2015,6,20,5
4229,17/07/2014,butter milk,2014,7,17,3
2215,15/09/2014,whole milk,2014,9,15,0
2750,14/09/2015,whole milk,2015,9,14,0
3946,19/06/2015,berries,2015,6,19,4
1674,12/04/2015,beverages,2015,4,12,6
3479,6/06/2014,herbs,2014,6,6,4
1929,14/04/2014,rolls/buns,2014,4,14,0
3683,12/04/2015,frozen meals,2015,4,12,6
3537,26/03/2014,bottled water,2014,3,26,2
4918,27/01/2015,rolls/buns,2015,1,27,1
3188,5/08/2014,fruit/vegetable juice,2014,8,5,1
2910,12/04/2015,cat food,2015,4,12,6
2271,8/04/2015,other vegetables,2015,4,8,2
2308,9/10/2014,yogurt,2014,10,9,3
3071,26/03/2015,pastry,2015,3,26,3
3952,11/04/2014,soda,2014,4,11,4
3741,8/06/2015,shopping bags,2015,6,8,0
2950,2/03/2014,long life bakery product,2014,3,2,6
4692,8/10/2014,curd,2014,10,8,2
3386,2/03/2015,citrus fruit,2015,3,2,0
2630,15/02/2015,frankfurter,2015,2,15,6
1734,20/03/2015,brown bread,2015,3,20,4
4899,5/10/2014,pot plants,2014,10,5,6
3497,24/09/2015,pip fruit,2015,9,24,3
3926,30/06/2015,rolls/buns,2015,6,30,1
1245,27/06/2015,soda,2015,6,27,5
3041,15/09/2015,pip fruit,2015,9,15,1
3472,2/06/2015,whole milk,2015,6,2,1
2973,31/07/2014,flour,2014,7,31,3
3283,5/01/2015,soda,2015,1,5,0
2834,2/07/2014,other vegetables,2014,7,2,2
1893,1/11/2015,fruit/vegetable juice,2015,11,1,6
2535,11/10/2015,other vegetables,2015,10,11,6
3847,6/08/2014,sausage,2014,8,6,2
2011,23/12/2015,UHT-milk,2015,12,23,2
4508,14/06/2014,newspapers,2014,6,14,5
1135,24/02/2015,butter,2015,2,24,1
2165,27/10/2014,oil,2014,10,27,0
2236,27/11/2014,rolls/buns,2014,11,27,3
1482,22/10/2014,brown bread,2014,10,22,2
4968,3/04/2014,beef,2014,4,3,3
2097,10/01/2015,newspapers,2015,1,10,5
1454,13/01/2015,meat,2015,1,13,1
3723,14/03/2015,pip fruit,2015,3,14,5
2523,7/04/2015,other vegetables,2015,4,7,1
3818,17/12/2015,whole milk,2015,12,17,3
4546,20/03/2014,margarine,2014,3,20,3
4437,28/07/2015,pork,2015,7,28,1
3821,1/03/2015,ham,2015,3,1,6
1668,5/05/2015,frozen meals,2015,5,5,1
4264,5/11/2015,curd cheese,2015,11,5,3
4095,11/01/2015,other vegetables,2015,1,11,6
1878,6/09/2014,rolls/buns,2014,9,6,5
3221,16/01/2014,house keeping products,2014,1,16,3
4098,16/02/2014,yogurt,2014,2,16,6
3863,9/01/2014,shopping bags,2014,1,9,3
2947,28/04/2015,tropical fruit,2015,4,28,1
2191,25/10/2015,pip fruit,2015,10,25,6
2001,14/11/2014,napkins,2014,11,14,4
2065,22/01/2015,pip fruit,2015,1,22,3
2359,4/09/2015,chocolate,2015,9,4,4
2391,1/03/2015,pip fruit,2015,3,1,6
3797,23/08/2015,other vegetables,2015,8,23,6
2408,25/03/2015,sausage,2015,3,25,2
2111,11/12/2014,shopping bags,2014,12,11,3
3361,3/05/2015,pastry,2015,5,3,6
2201,22/05/2015,bottled water,2015,5,22,4
1633,8/09/2015,pastry,2015,9,8,1
4079,18/03/2014,curd,2014,3,18,1
4216,25/12/2014,butter milk,2014,12,25,3
3490,7/09/2015,canned beer,2015,9,7,0
2786,21/02/2014,soda,2014,2,21,4
